Gender,Location,Age,Qualification_completed,field_of_study,Purpose_for_chilla,What are you?,Blood group ,Which mobile sim do you use,Prepaid or Postpaid,Which PC are you using?,Do you wear glasses?,When did you write your first line of code?,Your favorite programming language?,Marital Status?,Are you Vaccinated?,Where do you live?,Research/Working experience (Float/Int) years,Age (years)-Float/Int,Your Weight in kg? (float),Height in cm? Freelancer- (Float),How many hours you code a day? ,Light kitni der band hti hy? 
Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,Employed,A+,U-fone,Prepaid,Apna Laptop,No,>3 years ago,Python,No,Yes,Urbun,2,24,88.2,185.3,4,2
Male,East,21-25,Masters,Biology,to boost my skill set,Student,O+,International,Postpaid,Apna Laptop,Yes,In this chilla,Python,No,Yes,International,2.5,25,68.5,180.6,2,0
Male,Pakistan,31-35,Masters,CS/IT,to boost my skill set,Employed,B+,Zong,Postpaid,Apna Laptop,No,>3 years ago,Python,Yes,Yes,Urbun,2,33,75.8,174.25,1,0
Male,Pakistan,31-35,Bachelors,Enginnering,to boost my skill set,Employed,O+,Mobilink,Prepaid,Apna Laptop,Yes,>3 years ago,C++,No,Yes,Urbun,5.5,33,72.21,164.23,4,0
Male,East,26-30,PhD,Enginnering,to boost my skill set,Employed,AB+,International,Prepaid,Apna Laptop,No,In this chilla,Python,No,Yes,International,0.6,30,74.5,174.32,2,0
Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,Unemplyed,B+,Zong,Prepaid,Apna Laptop,Yes,In this chilla,Python,No,Yes,Urbun,0,25,130.12,172.72,4,5
Male,Pakistan,31-35,Masters,Enginnering,to boost my skill set,Employed,O+,Mobilink,Prepaid,Apna Laptop,No,<3 years ago,Python,Yes,Yes,Rural,2.5,31,72.5,170.18,3,3
Male,Pakistan,31-35,PhD,Enginnering,to boost my skill set,Employed,O+,Zong,Postpaid,Apna Laptop,No,In this chilla,Python,Yes,Yes,Urbun,2,33,70.2,168.2,3,8
Male,Pakistan,21-25,Pre-Bachelors,Enginnering,Switch my field of study,Student,O+,Zong,Prepaid,Apna Laptop,No,<3 years ago,Python,No,Yes,Urbun,0,21,55.2,182.88,1,1
Female,West,21-25,Bachelors,Biology,Switch my field of study,Student,AB+,International,Prepaid,Apna Laptop,Yes,In this chilla,Python,No,Yes,International,2,25,69.2,174.63,3,0
Male,East,26-30,PhD,Others,to boost my skill set,Student,AB+,International,Postpaid,Apna Laptop,No,<3 years ago,Python,No,Yes,International,4.5,30,65.5,174.5,3,1
Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,Student,B+,Zong,Prepaid,Apna Laptop,No,>3 years ago,Python,No,Yes,Rural,0,24,83.5,172.72,3,2
Male,Pakistan,26-30,PhD,Biology,to boost my skill set,Student,B+,Zong,Prepaid,Apna Laptop,No,In this chilla,Python,No,Yes,Rural,9,30,60.1,164.59,3,9
Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,Employed,O+,U-fone,Prepaid,Apna Laptop,No,<3 years ago,Python,No,Yes,Urbun,3.1,25,69.5,163.2,5,0
Male,Pakistan,31-35,Bachelors,CS/IT,to boost my skill set,Employed,B+,Mobilink,Postpaid,Apna Laptop,No,>3 years ago,Python,Yes,Yes,Urbun,4,33,72.1,177.2,1,0
Male,East,31-35,PhD,Biology,Switch my field of study,Employed,O+,International,Prepaid,Apna Laptop,No,In this chilla,Python,No,Yes,International,8.4,33.9,97.5,177.2,5,1
Male,East,26-30,PhD,Enginnering,to boost my skill set,Employed,AB+,International,Prepaid,Apna Laptop,No,In this chilla,Python,No,Yes,International,6,30,85.12,178.2,4,0
Male,Pakistan,26-30,Bachelors,Business/Economics,to boost my skill set,Unemplyed,B+,Telenor,Prepaid,Kisi ka laptop,No,In this chilla,Python,No,Yes,Rural,1,26,55.5,164.2,3,4
Female,Pakistan,26-30,Masters,Natural Sciences,to boost my skill set,Student,B+,Mobilink,Prepaid,Apna Laptop,Yes,In this chilla,Python,No,Yes,Urbun,4,27.9,60.22,160.2,3,2
Male,West,31-35,PhD,Enginnering,to boost my skill set,Student,B-,International,Postpaid,Apna Laptop,Yes,<3 years ago,Python,Yes,Yes,International,2,31,80.12,176.3,3,0
Male,Pakistan,26-30,Bachelors,Enginnering,Switch my field of study,Student,A-,Telenor,Prepaid,Apna Laptop,No,<3 years ago,Python,No,No,Urbun,0,29,78.2,179.3,4,4
Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,Student,A+,Zong,Prepaid,Apna Laptop,No,<3 years ago,Python,No,Yes,Rural,0,21,52.5,164.344,1,0
Male,Pakistan,21-25,Masters,Mathematics,Abhi tak pata nahi,Employed,A-,Telenor,Prepaid,Kisi ka laptop,No,<3 years ago,C++,No,Yes,Rural,0,23,67.21,155.3,2,1
Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,Unemplyed,AB+,U-fone,Prepaid,Apna Laptop,No,<3 years ago,Python,No,Yes,Urbun,0.2,24.3,93.5,177.5,2,2
Male,West,26-30,Masters,Biology,to boost my skill set,Student,B+,International,Prepaid,Apna Laptop,No,<3 years ago,R,No,Yes,International,4.5,28,68.3,175.25,3,0
Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,Employed,O+,Mobilink,Prepaid,Apna Laptop,No,>3 years ago,Python,No,Yes,Urbun,3,26,96.21,172.6,6,2
Male,Pakistan,31-35,Bachelors,Enginnering,Switch my field of study,Employed,B+,U-fone,Prepaid,Apna Laptop,No,<3 years ago,Python,Yes,Yes,Urbun,0,31,64.12,160.2,1,0
Male,Pakistan,31-35,Masters,CS/IT,to boost my skill set,Employed,O+,Mobilink,Postpaid,Apna Laptop,No,>3 years ago,Python,Yes,Yes,Rural,14,31,76.5,165.2,3,1
Male,Pakistan,31-35,Masters,Enginnering,to boost my skill set,Employed,A+,Mobilink,Postpaid,Apna Laptop,No,>3 years ago,Python,Yes,Yes,Urbun,4,33,84.213,183.6,3,2
Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,Student,A+,Zong,Prepaid,Desktop,No,<3 years ago,Python,No,Yes,Urbun,0,20,75.21,169.2,2,0
Female,Pakistan,26-30,Masters,Enginnering,to boost my skill set,Unemplyed,B+,U-fone,Prepaid,Apna Laptop,Yes,<3 years ago,Python,No,Yes,Urbun,1.5,26,47.2,163.4,2,0
Male,West,31-35,Masters,Mathematics,to boost my skill set,Employed,B+,International,Postpaid,Apna Laptop,No,>3 years ago,Python,Yes,Yes,Urbun,4,32.75,72.5,173.4,2,0
Female,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,Employed,O+,Mobilink,Prepaid,Apna Laptop,No,>3 years ago,Others,No,Yes,Urbun,7,28,50.21,170.18,4,4
Male,West,31-35,Bachelors,Enginnering,Awen,Employed,A+,International,Postpaid,Apna Laptop,No,In this chilla,Python,Yes,Yes,International,8.5,34,87.5,182.6,4,0
Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,Unemplyed,O+,Zong,Prepaid,Apna Laptop,No,In this chilla,Others,Yes,Yes,Urbun,0,29,62.5,179.832,2,8
Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,Employed,B+,Mobilink,Prepaid,Apna Laptop,No,>3 years ago,C++,No,Yes,Urbun,2,27,88.6,147.3,3,0
Male,Pakistan,16-20,Pre-Bachelors,Others,to boost my skill set,Student,B+,Zong,Prepaid,Kisi ka laptop,Yes,In this chilla,Python,Yes,Yes,Urbun,0,18,52.12,174.2,2,2
